Title,Group Offers?,Description,main_title,CE Course URL,main_url,description
Dentist's Advantage,Unknown,An educational webinar presentation highlighting common dental license complaints made to the State Board of Dentistry.,Dental Malpractice Insurance for Dentists | Dentist's Advantage,https://www.dentists-advantage.com/Prevention-Education/Online-CE-Courses/Online-Dental-Education-Courses,www.dentists-advantage.com,The presentation will highlight common dental license complaints seen in the Dentist's Advantage/CNA program made to the State Board of Dentistry. This session ...
VCU School of Dentistry,True,Virginia Commonwealth University School of Dentistry offers VA State dental board approved CE courses for dentists and dental hygienists.,Continuing Education - School of Dentistry | School of Dentistry | CE Learning Center | Virginia Commonwealth University,https://ce.dentistry.vcu.edu/,ce.dentistry.vcu.edu,"Dentist cleaning a child's teeth. Start learning today, register for CE. The VCU School of Dentistry produces VA State dental board approved CE courses in a ..."
UIC,True,University of Illinois Chicago College of Dentistry offers CE courses for dentists and dental hygienists.,College of Dentistry | University of Illinois Chicago,https://dentistry.uic.edu/continuing-education/,dentistry.uic.edu,Continuing education courses for dental professionals Heading link. Copy link. dentists working on patient. The UIC College of Dentistry provides both live and ...
Concord Seminars,True,Provides high quality dental continuing education courses for dentists and dental hygienists.,Dental Continuing Education | Live CE Webinars| CE Seminars | Concord Seminars,https://www.concordseminars.com/,www.concordseminars.com,"We are driven to provide the industry's highest quality dental seminar experience. · Our courses cover the entire spectrum of subjects that benefit dentists, ..."
HuFriedyGroup,True,Dental continuing education courses available for free through live hands-on programs and live/on demand webinars.,HuFriedyGroup - The Best in Practice,https://www.hufriedygroup.com/education/continuing-education-classes,www.hufriedygroup.com,Hu-Friedy is proud to offer dental professionals free continuing education courses through live hands-on programs and both live and on demand webinars.
Florida Dental,True,Provides dental continuing education courses to meet the requirement for dentists in Florida to complete 30 credit hours of approved continuing education.  2. ADA CE,Florida Dental | American Dental Association,https://www.floridadental.org/convention-ce/continuing-education/online-ce,www.floridadental.org,Online CE. Florida dentists are required to complete a minimum of 30 credit hours of approved continuing education in dental-related subjects each biennium.
CE Zoom,True,Organize and track dental CE courses to properly treat patients.,CE Zoom | Organize and Track your Continuing Education,https://www.cezoom.com/courses/,www.cezoom.com,"Nov 5, 2022 — Dental Continuing Education Courses ... Use our search tools to find the dentist continuing education courses you need to properly treat patients ..."
"UIC|True|College of Dentistry at the University of Illinois Chicago, offering CE courses for dentists and dental hygienists.","2. PTC|False|Provider of professional technical and vocational training, with no offerings specifically for dental continuing education courses.",,Homepage | School of Dental Medicine,https://dental.tufts.edu/continuing-education,dental.tufts.edu,This 40-day (8-week) program is designed for dentists interested in furthering their knowledge of dentistry in a specific field of interest. The objective of ...
Alabama Board of Dental Examiners , Unknown* ," State agency regulating dentistry in Alabama, responsible for setting and enforcing standards for the profession.   *Unknown as CE requirements are not directly related to the agency.",Board of Dental Examiners of Alabama,https://dentalboard.org/professionals/continuing-education/,dentalboard.org,How many CEs are required for a Dentist? · Dentists are required to have 20 hrs of CEs yearly · Up to 10 hours can be online/journals/publications · CPR and ...
DHBC , Unknown , California state licensing board that administers laws and regulations related to dental hygienists and provides license renewal through mandatory courses.,Dental Hygiene Board of California,https://www.dhbc.ca.gov/licensees/cont_ed.shtml,www.dhbc.ca.gov,What are the mandatory courses for license renewal? · 2 CEUs of Infection Control. Title 16 CCR §1017(a)(1) · 2 CEUs of the California Dental Practice Act. Title ...
UofU Dentistry , Unknown , School of Dentistry at the University of Utah committed to providing lifelong learning experiences for dental professionals.,School of Dentistry | University of Utah,https://dentistry.utah.edu/education/continuing-education,dentistry.utah.edu,The School of Dentistry is committed to provide lifelong learning experiences for all dental professionals seeking to enhance their competency and knowledge in ...
U of M SOD , Unknown , University of Minnesota School of Dentistry offering an event with insights into digital dentistry at Big Sky Resort.,University of Minnesota School of Dentistry,https://dentistry.umn.edu/continuing-dental-education/courses-0,dentistry.umn.edu,Transform your dental practice with the latest insights in digital dentistry while embarking on an epic ski adventure at Big Sky Resort over President's Day ...
Texas State Board of Dental Examiners , Unknown , Regulator of dentists in Texas that sets requirements for biennial licensing renewal.  2. UIC ,Texas State Board of Dental Examiners,https://tsbde.texas.gov/licensing/dentists/dentist-continuing-education/,tsbde.texas.gov,"Effective January 1, 2021, a licensed dentist whose practice includes direct patient care must complete at least four (4) CE hours for each biennial renewal, ..."
Dentistry Seattle WA , Unknown ," Professionally accredited dental school in Seattle, WA providing comprehensive educational and clinical experience to set up students for successful careers in dentistry.",Dentistry Seattle WA - Dentists Seattle WA - Dental School Seattle WA -,https://dental.washington.edu/continuing-dental-education/,dental.washington.edu,"This course is part of the Association for Continuing Dental Education Joint Live Webinar Series. Sat, Nov 4, 2023, Oral Surgery Update for the General Dentist ..."
DNOA , Unknown , Dental Network of America provides a CE library exclusively by Procter & Gamble's Crest for dentists and dental hygienists.,Dental Network of America,https://www.dnoa.com/join-network/cecourse,www.dnoa.com,Network dentists may choose from more than 100 free continuing dental education courses—a CE library provided exclusively by Procter & Gamble's Crest ...
Office of the Professions , Unknown ," New York State Education Department agency providing information on professional licensing, including CE requirements for Dentists and Dental Hygienists.",Office of the Professions | Office of the Professions,https://www.op.nysed.gov/professions/dentists/continuing-education-q-a,www.op.nysed.gov,"Aug 31, 2020 — Questions and Answers for Dentists and Dental Hygienists. General Information. The continuing education requirement for dentists will be ..."
MDA , Unknown ," Organization providing resources and assistance to the Michigan dental community, offering surveys and research on the effects of dental insurance on dental practices.",Michigan Dental Association - Home,https://www.michigandental.org/ce-courses/,www.michigandental.org,Survey the reimbursement landscape and its effect on dentistry. Measure and analyze the role of dental insurance in your practice. Discover sound strategies and ...
Wa State Dept. of Health , Unknown , Regulatory board providing permits and certification for licensed dentists.,| Washington State Department of Health,https://doh.wa.gov/licenses-permits-and-certificates/professions-new-renew-or-update/dentist/continuing-education,doh.wa.gov,"Summary of continuing education required for licensed dentists ; General anesthesia permit, 18 hours ; Dentist suicide prevention education ; Dentist opioid ..."
Home | Dental Zing , Unknown , Online CE course bundles and individual courses for dentists and dental hygienists.,Home | Dental Zing On-Demand Continuing Education,https://dentalzing.com/all-courses/,dentalzing.com,Popular Dental CE Course Bundles · Introduction to Dental Coding and Administration Series(4.0 CE) · Advanced Dental Billing 7 Course Series.
DPO HOME | Div. of Professions & Occupations , Unknown ," Colorado office that regulates Colorado professional licensing for dentists, dental therapists, and dental hygienists.",DPO HOME | Division of Professions and Occupations,https://dpo.colorado.gov/Dental/CE,dpo.colorado.gov,"Every Dentist, Dental Therapist, and Dental Hygienist, as a condition of renewing, reactivating or reinstating a license must complete at least 30 hours of ..."
Home | Iowa Dental Board , Unknown , State-level organization responsible for regulating the dental professions in Iowa. ,Home | Iowa Dental Board,https://dentalboard.iowa.gov/practitioners/continuing-education-overview,dentalboard.iowa.gov,"A dental science course that includes topics which address the clinical practice of dentistry, dental hygiene, dental assisting and dental public health. b."
